name,tempo
"Sinfonia No. 2 Resurrección: Auferstehn, Ja Auferstehn Wirts Du-Gustav Mahler.mp4",87
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]-Daft Punk.mp4,116
Would? (2022 Remaster)-Alice In Chains.mp4,102
MVP Freestyle-Light.mp4,85
Apie Tave-Jazzu.mp4,63
Slateman-Godflesh.mp4,132
Everybody Dies In Their Nightmares-XXXTENTACION.mp4,130
Boulevard of Broken Dreams-Green Day.mp4,167
505-Arctic Monkeys.mp4,140
All of Me-John Legend.mp4,125
Подруга-Наша Таня.mp4,70
Take It All-Adele.mp4,68
This Love This Heart - 2016 Remaster-Phil Collins.mp4,100
Present Tense-Radiohead.mp4,92
Shadowman-Axxis.mp4,181
Wet Sand-Red Hot Chili Peppers.mp4,88
Take on Me-a-ha.mp4,169
Call Your Name-Daughtry.mp4,142
Mastermind-Mick Gordon.mp4,145
Wat's Wrong (feat. Zacari & Kendrick Lamar)-Isaiah Rashad.mp4,125
Gainesville Rock City-Less Than Jake.mp4,104
"Le Quattro Stagioni (the Four Seasons), Op. 8, Concerto No. 1 in E Major, Rv 269 “la Primavera” (Spring): I. Allegro-Albinoni Orchestra & Julius Frederick Rinaldi.mp4",107
"Antonio Vivaldi: Inverno de ""As Quatro Estações"" Op. 8 No.4, Allegro-Antonio Vivaldi.mp4",120
"The Glow, Pt. 2-The Microphones.mp4",100
Nil-Christian Löffler.mp4,120
Bohemian Rhapsody-Freddie Mercury.mp4,71
The Son of Misery-Thy Art Is Murder.mp4,130
Deep Stone Lullaby-Michael Sechrist.mp4,130
Space Is Only Noise If You Can See-Nicolas Jaar.mp4,102
Here's to Life-Streetlight Manifesto.mp4,140
Infinito-Djavan.mp4,158
A Vida É Desafio-Racionais MC's.mp4,76
Silmät-Arppa.mp4,125
Somehow.-Phony Ppl.mp4,93
Mis Días Sin Ti-Rauw Alejandro.mp4,90
父亲写的散文诗-许飞.mp4,130
Drag Me Down-One Direction.mp4,138
我和我的祖国-王紫菲.mp4,61
Moths - 2003 Remaster-Jethro Tull.mp4,96
My Flaws Burn Through My Skin Like Demonic Flames from Hell-$uicideboy$.mp4,63
I Wanna Dance with Somebody (Who Loves Me)-Whitney Houston.mp4,119
The End-The Doors.mp4,107
Letter of Fate-Goldie.mp4,90
Paska maanantai-Seminaarinmäen Mieslaulajat.mp4,87
Waltz-Eugen Doga.mp4,112
Kreuzberg-Bloc Party.mp4,128
"Agar Tum Saath Ho (From ""Tamasha"")-Alka Yagnik.mp4",123
Summer-Calvin Harris.mp4,128
Where Is My Mind? - Remastered-Pixies.mp4,81
What Sarah Said-Death Cab for Cutie.mp4,90
"Dört Mevsim, Konçerto No. 2 in G Minor, RV 315 ""Yaz""-Antonio Vivaldi.mp4",144
Through Da Storm-Polo G.mp4,75
Milo-Dooz Kawa.mp4,85
Coração Noturno-Raul Seixas.mp4,102
Pana La Sange-Carla's Dreams.mp4,71
"Drei Klavierstücke, D.946: Drei Klavierstücke, D.946: I. Allegro assai. Andante. Andantino-Franz Schubert.mp4",66
She's A Big Boy-Mcbaise.mp4,150
One More Time-Daft Punk.mp4,123
Rescue-Lauren Daigle.mp4,100
"What Is Love - 7"" Mix-Haddaway.mp4",124
Nopeimmat junat-Anna Puu.mp4,125
Line-The Story So Far.mp4,103
"Lullabye (Goodnight, My Angel)-Billy Joel.mp4",77
Californication-Red Hot Chili Peppers.mp4,97
Spiegel im spiegel-Arvo Pärt.mp4,91
You Say-Lauren Daigle.mp4,74
Let Down-Radiohead.mp4,103
Bump in the Road (feat. Gisto & Pineo & Loeb)-Stylust.mp4,85
60 uutta ongelmaa-Apulanta.mp4,98
PLANET  SHAPER-Camellia.mp4,147
11th Dimension-Julian Casablancas.mp4,125
Stay (Wasting Time)-Dave Matthews Band.mp4,108
How Can I Be Sure of You-Harry Nilsson.mp4,119
Honey Come Back-The Ray Conniff Singers.mp4,114
Rolling in the Deep-Adele.mp4,105
Sunset-The xx.mp4,120
Kitoks Pasaulis (2017)-Andrius Mamontovas.mp4,117
Isn't It a Pity-Nina Simone.mp4,62
"Welcome Home, Son-Radical Face.mp4",145
Timber (feat. Ke$ha)-Pitbull.mp4,130
O Mary Don't You Weep-Bruce Springsteen.mp4,138
Uusia unelmia-Vesala.mp4,96
The Greatest Show on Earth-Nightwish.mp4,154
Karma Police-Radiohead.mp4,151
